omega_b H0 logA omega_cdm n_s z_reio A_planck A_act P_act Tcal Ecal m_ncdm
2.248828192199059731e-02 6.825849327438547220e+01 3.043862002889464069e+00 1.188676851764858822e-01 9.743844144939900476e-01 7.932640553975886633e+00 9.996085836151414883e-01 9.998776423677718794e-01 1.003626761929287348e+00 1.000753738921728697e+00 9.985324783161689810e-01 1.385701729908155044e-02
2.239067081446447297e-02 6.803657366543468754e+01 3.064613814934737945e+00 1.180142944821575418e-01 9.743888922992973711e-01 8.878124671750347474e+00 1.000870154195707906e+00 1.000174181046172173e+00 1.004012280312845284e+00 9.962885337031179844e-01 9.971381300856564378e-01 7.493506933913242352e-02
2.253654036686889017e-02 6.827924050488572050e+01 3.054675809851561397e+00 1.173323137983184328e-01 9.742573652576990151e-01 8.595511233827828335e+00 9.998465424044096217e-01 9.974679568385791395e-01 1.005643471318062865e+00 9.976420568234185549e-01 1.001421572216891764e+00 7.581624074420265091e-02
2.250075966255168231e-02 6.865625360429251600e+01 3.054216463365519107e+00 1.181561554173164441e-01 9.728055857473724144e-01 8.119725048907380227e+00 1.001787564556994914e+00 9.993857383951587625e-01 1.001953027650053007e+00 9.991367991770206958e-01 1.001934765783474290e+00 1.158428560874022982e-03
2.244260589374439188e-02 6.808428162924460025e+01 3.049836760170337335e+00 1.184227540591959171e-01 9.700907950849528838e-01 8.265945194250068795e+00 9.984393693883031329e-01 9.994839475925560990e-01 1.004965459581649512e+00 9.968605733385182965e-01 9.948525749119915274e-01 5.953628290971987869e-02
2.243256148838205025e-02 6.829665331978350196e+01 3.057239771830505770e+00 1.186724005160550571e-01 9.758497767482039453e-01 8.760987838139410400e+00 9.966000303162466656e-01 9.985033456309052591e-01 1.006856739686138313e+00 9.952013710055673812e-01 9.996491190818971306e-01 1.626312699170697970e-02
2.231266215662492530e-02 6.801826315333919126e+01 3.043640878448938825e+00 1.194028637066057580e-01 9.746007483198970700e-01 7.676560598445911765e+00 1.002834997329297151e+00 1.002957644426103023e+00 1.007163221973087497e+00 1.001814001603609228e+00 1.001938015638921264e+00 1.431135011811499307e-03
2.248940275947112349e-02 6.847275371577308078e+01 3.082355268653910851e+00 1.181096176793983987e-01 9.770709448377067341e-01 9.564002924303331099e+00 1.001966686923888794e+00 1.000916066449407893e+00 1.004765063096001443e+00 9.998788276517052154e-01 1.005359935545893535e+00 3.404793511148512114e-02
2.237446704426689081e-02 6.831924668726378513e+01 3.065844768379076601e+00 1.188575021308282686e-01 9.719473526968176458e-01 8.788149835435900670e+00 1.001480258349905839e+00 1.002714301011847997e+00 1.000605936689818565e+00 9.961902718372623866e-01 9.994700310639391683e-01 2.947438428068824235e-04
2.258199807818363561e-02 6.848843617292058639e+01 3.046124526698163137e+00 1.184881465536493927e-01 9.724152995845256608e-01 7.651189327117201344e+00 1.001703290877221875e+00 1.002216515522520890e+00 1.003197200095365949e+00 9.959573993078414400e-01 1.000486197893045714e+00 1.607892838709020292e-02
