logz logzerr logvol nlive logl logwt insert_order
-2.936142127686119420e+04 3.055099379211945276e+01 -8.500000000000003386e-02 4.000000000000000000e+02 -2.926140832329216937e+04 -2.926748603757885940e+04 1.155000000000000027e+00
-2.926748603757885940e+04 6.168024999639383310e+01 -8.750000000000003608e-02 4.000000000000000000e+02 -2.893928063879999900e+04 -2.894536085308669135e+04 1.799999999999999933e-01
-2.894536085308669135e+04 1.656764307169588335e+02 -9.000000000000003830e-02 4.000000000000000000e+02 -2.865564096998662717e+04 -2.866172368427331821e+04 3.250000000000000111e-01
-2.866172368427331821e+04 1.900490043345914444e+02 -9.250000000000004052e-02 4.000000000000000000e+02 -2.859879866389273229e+04 -2.860488387817942203e+04 5.100000000000000089e-01
-2.860488387817942203e+04 1.936743086259609754e+02 -9.500000000000004274e-02 4.000000000000000000e+02 -2.848507353964546564e+04 -2.849116125393215771e+04 6.949999999999999512e-01
-2.849116125393215771e+04 2.277976511928960690e+02 -9.750000000000004496e-02 4.000000000000000000e+02 -2.822149284606663423e+04 -2.822758306035332498e+04 9.749999999999999778e-01
-2.822758306035332498e+04 2.955929042806454845e+02 -1.000000000000000472e-01 4.000000000000000000e+02 -2.806465301416306465e+04 -2.807074572844975773e+04 1.225000000000000089e+00
-2.807074572844975773e+04 1.512925090892706805e+02 -1.025000000000000494e-01 4.000000000000000000e+02 -2.784321456453187056e+04 -2.784930977881856234e+04 1.939999999999999947e+00
-2.784930977881856234e+04 1.241644278890703390e+02 -1.050000000000000516e-01 4.000000000000000000e+02 -2.778919693848678071e+04 -2.779529465277347117e+04 4.550000000000000155e-01
-2.779529465277347117e+04 2.723235944190281188e+01 -1.075000000000000538e-01 4.000000000000000000e+02 -2.759570816609578833e+04 -2.760180838038248112e+04 1.139999999999999902e+00
-2.760180838038248112e+04 1.161775685308309249e+02 -1.100000000000000561e-01 4.000000000000000000e+02 -2.758238767341633502e+04 -2.758849038770302650e+04 1.020000000000000018e+00
-2.758849038605839451e+04 1.121030679101107665e+02 -1.125000000000000583e-01 4.000000000000000000e+02 -2.719560192544162783e+04 -2.720170713972831800e+04 8.199999999999999512e-01
-2.720170713972831800e+04 1.839742264490335515e+02 -1.150000000000000605e-01 4.000000000000000000e+02 -2.719292907712647502e+04 -2.719903679141316752e+04 2.849999999999999756e-01
-2.719896985441950164e+04 1.115690383177340976e+02 -1.175000000000000627e-01 4.000000000000000000e+02 -2.683688516546792016e+04 -2.684299537975461135e+04 9.499999999999999556e-01
-2.684299537975461135e+04 1.784532039047998069e+02 -1.200000000000000649e-01 4.000000000000000000e+02 -2.669829213649815210e+04 -2.670440485078484198e+04 1.354999999999999982e+00
-2.670440485078484198e+04 2.345325998581923841e+02 -1.225000000000000672e-01 4.000000000000000000e+02 -2.661048326195011396e+04 -2.661659847623680616e+04 1.320000000000000062e+00
-2.661659847623680616e+04 1.592096024575309059e+02 -1.250000000000000555e-01 4.000000000000000000e+02 -2.638343220449944783e+04 -2.638954991878613873e+04 9.599999999999999645e-01
-2.638954991878613873e+04 2.311242832188971761e+02 -1.275000000000000577e-01 4.000000000000000000e+02 -2.628883301476526321e+04 -2.629495322905195280e+04 6.800000000000000488e-01
-2.629495322905195280e+04 1.346701397531317070e+02 -1.300000000000000600e-01 4.000000000000000000e+02 -2.623052580819833020e+04 -2.623664852248502211e+04 1.514999999999999902e+00
-2.623664852248502211e+04 1.550650719756394835e+02 -1.325000000000000622e-01 4.000000000000000000e+02 -2.613002836339868736e+04 -2.613615357768537797e+04 1.094999999999999973e+00
-2.613615357768537797e+04 6.392773952159856776e+01 -1.350000000000000644e-01 4.000000000000000000e+02 -2.536888368020577764e+04 -2.537501139449247057e+04 8.199999999999999512e-01
-2.537501139449247057e+04 3.293933308842939596e+02 -1.375000000000000666e-01 4.000000000000000000e+02 -2.534425580261333016e+04 -2.535038601690002179e+04 6.800000000000000488e-01
-2.535038601689999996e+04 1.188874614138278218e+01 -1.400000000000000688e-01 4.000000000000000000e+02 -2.529618207911527134e+04 -2.530231479340196165e+04 5.949999999999999734e-01
-2.530231479340196165e+04 3.400695511485553624e+01 -1.425000000000000711e-01 4.000000000000000000e+02 -2.514017884136009161e+04 -2.514631405564678425e+04 1.475000000000000089e+00
-2.514631405564678425e+04 8.935377984357938885e+01 -1.450000000000000733e-01 4.000000000000000000e+02 -2.492175064044286046e+04 -2.492788835472955179e+04 8.800000000000000044e-01
-2.492788835472955179e+04 1.445972191950234560e+02 -1.475000000000000755e-01 4.000000000000000000e+02 -2.488318907605445202e+04 -2.488932929034114204e+04 1.185000000000000053e+00
-2.488932929034114204e+04 1.132521510180769724e+02 -1.500000000000000777e-01 4.000000000000000000e+02 -2.487100109921396142e+04 -2.487714381350065378e+04 1.100000000000000089e+00
-2.487714380839662044e+04 1.153775267550370103e+02 -1.525000000000000799e-01 4.000000000000000000e+02 -2.484990107012374938e+04 -2.485604628441044042e+04 4.050000000000000266e-01
-2.485604628440975284e+04 1.210789482655469840e+02 -1.550000000000000822e-01 4.000000000000000000e+02 -2.466356661503198848e+04 -2.466971432931867821e+04 1.705000000000000071e+00
-2.466971432931867821e+04 1.791995558906463941e+02 -1.575000000000000844e-01 4.000000000000000000e+02 -2.451410183778433202e+04 -2.452025205207102408e+04 5.749999999999999556e-01
-2.452025205207102408e+04 2.174047242084500056e+02 -1.600000000000000866e-01 4.000000000000000000e+02 -2.451143910199070160e+04 -2.451759181627739235e+04 1.129999999999999893e+00
-2.451752422143437070e+04 2.150714483835054693e+02 -1.625000000000000888e-01 4.000000000000000000e+02 -2.441058098065299055e+04 -2.441673619493968363e+04 7.299999999999999822e-01
-2.441673619493968363e+04 8.841197445636991858e+01 -1.650000000000000910e-01 4.000000000000000000e+02 -2.430006956964474011e+04 -2.430622728393143188e+04 1.594999999999999973e+00
-2.430622728393143188e+04 1.117314470527812063e+02 -1.675000000000000933e-01 4.000000000000000000e+02 -2.428861365437280620e+04 -2.429477386865949666e+04 6.500000000000000222e-01
-2.429477385804638834e+04 3.284899868881255003e+01 -1.700000000000000955e-01 4.000000000000000000e+02 -2.414440009972454573e+04 -2.415056281401123852e+04 5.899999999999999689e-01
-2.415056281401123852e+04 8.537701043116183541e+01 -1.725000000000000977e-01 4.000000000000000000e+02 -2.359307325688250785e+04 -2.359923847116919933e+04 4.699999999999999734e-01
-2.359923847116919933e+04 2.843875144372764225e+02 -1.750000000000000999e-01 4.000000000000000000e+02 -2.358027157458994043e+04 -2.358643928887663060e+04 1.024999999999999911e+00
-2.358643928611360388e+04 1.568553348215119172e+02 -1.775000000000001021e-01 4.000000000000000000e+02 -2.347738158270200802e+04 -2.348355179698870052e+04 1.760000000000000009e+00
-2.348355179698870052e+04 1.817502359534591392e+02 -1.800000000000001044e-01 4.000000000000000000e+02 -2.340478699900056745e+04 -2.341095971328725864e+04 1.864999999999999991e+00
-2.341095971328725864e+04 3.578801641604675865e+01 -1.825000000000001066e-01 4.000000000000000000e+02 -2.296398637225000857e+04 -2.297016158653669845e+04 1.549999999999999989e-01
-2.297016158653669845e+04 2.344226885836970098e+02 -1.850000000000001088e-01 4.000000000000000000e+02 -2.279970891320984083e+04 -2.280588662749653304e+04 1.385000000000000009e+00
-2.280588662749653304e+04 6.059340266458445257e+01 -1.875000000000001110e-01 4.000000000000000000e+02 -2.275903668408906742e+04 -2.276521689837575832e+04 6.250000000000000000e-01
-2.276521689837575832e+04 7.431185611246296219e+01 -1.900000000000001132e-01 4.000000000000000000e+02 -2.270316273951218318e+04 -2.270934545379887277e+04 7.049999999999999600e-01
-2.270934545379887277e+04 7.240537561270274125e+01 -1.925000000000001155e-01 4.000000000000000000e+02 -2.243623513578256097e+04 -2.244242035006925289e+04 1.149999999999999911e+00
-2.244242035006925289e+04 1.729370624475117211e+02 -1.950000000000001177e-01 4.000000000000000000e+02 -2.242938897199016355e+04 -2.243557668627685416e+04 1.280000000000000027e+00
-2.243557562065489401e+04 1.721995973838218106e+02 -1.975000000000001199e-01 4.000000000000000000e+02 -2.239573923370080956e+04 -2.240192944798750250e+04 1.469999999999999973e+00
-2.240192944798750250e+04 1.553333002702859744e+02 -2.000000000000001221e-01 4.000000000000000000e+02 -2.237876901977209491e+04 -2.238496173405878653e+04 9.499999999999999556e-01
-2.238496173401602937e+04 1.592246247184131391e+02 -2.025000000000001243e-01 4.000000000000000000e+02 -2.234206449272630562e+04 -2.234825970701299593e+04 5.400000000000000355e-01
-2.234825970701299593e+04 2.767192561478551127e+01 -2.050000000000001266e-01 4.000000000000000000e+02 -2.231354571197362020e+04 -2.231974342626031284e+04 2.000000000000000111e-01
-2.231974342626031284e+04 1.919739493060702529e+01 -2.075000000000001288e-01 4.000000000000000000e+02 -2.230921563630211313e+04 -2.231541585058880446e+04 1.550000000000000044e+00
-2.231540273743458238e+04 2.004679669665733499e+01 -2.100000000000001310e-01 4.000000000000000000e+02 -2.216732508103985674e+04 -2.217352779532654677e+04 1.830000000000000071e+00
-2.217352779532654677e+04 7.337623842236391170e+01 -2.125000000000001332e-01 4.000000000000000000e+02 -2.178042851861190866e+04 -2.178663373289860101e+04 7.149999999999999689e-01
-2.178663373289860101e+04 1.070445601405035490e+02 -2.150000000000001354e-01 4.000000000000000000e+02 -2.170582126981576221e+04 -2.171202898410245325e+04 9.300000000000000488e-01
-2.171202898410245325e+04 2.762391919710208654e+01 -2.175000000000001377e-01 4.000000000000000000e+02 -2.161327915914587356e+04 -2.161948937343256330e+04 8.000000000000000444e-01
-2.161948937343256330e+04 3.451332252888992969e+01 -2.200000000000001399e-01 4.000000000000000000e+02 -2.154184712820568893e+04 -2.154805984249238099e+04 1.324999999999999956e+00
-2.154805984249238099e+04 5.023664131358096085e+01 -2.225000000000001421e-01 4.000000000000000000e+02 -2.151570271147009043e+04 -2.152191792575678119e+04 1.199999999999999956e+00
-2.152191792575677755e+04 2.709774405279149079e+01 -2.250000000000001443e-01 4.000000000000000000e+02 -2.137561527120603569e+04 -2.138183298549272877e+04 1.400000000000000133e-01
-2.138183298549272877e+04 8.670034639269334775e+01 -2.275000000000001465e-01 4.000000000000000000e+02 -2.125804167860379675e+04 -2.126426189289048853e+04 9.000000000000000222e-01
-2.126426189289048853e+04 1.060888827909534058e+02 -2.300000000000001488e-01 4.000000000000000000e+02 -2.081946392233892038e+04 -2.082568663662561084e+04 1.794999999999999929e+00
-2.082568663662561084e+04 2.081589295511723492e+02 -2.325000000000001510e-01 4.000000000000000000e+02 -2.080763325669454935e+04 -2.081385847098124214e+04 5.949999999999999734e-01
-2.081385846368513376e+04 1.237242960230859126e+02 -2.350000000000001532e-01 4.000000000000000000e+02 -2.077240244971813809e+04 -2.077863016400482957e+04 1.489999999999999991e+00
