weight logl omega_b H0 logA omega_cdm n_s z_reio A_planck A_act P_act Tcal Ecal m_ncdm
0.000000000000000000e+00 -3.063951111868119915e+04 8.846722904861711312e-01 8.879253938602457152e-01 8.269538435314369718e-01 9.320544446222507329e-01 5.830484779066327228e-01 2.822663287558698775e-01 8.557295661731850744e-01 8.280399023252991153e-01 7.180800398401508966e-01 1.279834112645535926e-01 2.550685917340911324e-01 4.603828781030174788e-01
0.000000000000000000e+00 -3.036742785180814462e+04 6.238822513757666943e-01 8.632368184385191823e-01 1.522905746316893794e-02 9.012008969042489825e-01 1.471190912614164237e-01 6.703074885729256582e-01 8.099870165055313986e-01 3.969386765694462582e-01 8.874287818548538542e-01 5.396102739367243384e-01 7.642768992346071766e-02 1.689202466551991133e-01
0.000000000000000000e+00 -3.012667748171224594e+04 8.057739955411934440e-01 2.098500558065263810e-02 9.717729955880192172e-01 4.484046955688333336e-01 1.612703954307791454e-01 1.982883063192587558e-01 4.628799757672319437e-02 2.743701684652455342e-02 4.835293848936508265e-01 3.801706379368920974e-01 6.384945951639043882e-01 2.340925854617995627e-01
0.000000000000000000e+00 -2.997071452316727300e+04 8.653857878835879980e-01 9.038816014404017496e-01 9.293506741828162498e-01 4.329533436472787766e-02 7.640726356887260762e-01 1.701843482927101192e-02 6.421798950313685195e-01 6.307578030796071600e-01 8.077218603746461056e-01 7.752714936491171827e-01 1.371504393882893025e-01 3.299485620140593101e-01
0.000000000000000000e+00 -2.969951583502438734e+04 5.067045813688125788e-01 5.636415454227847732e-01 9.377015953621018474e-01 7.503197772743155358e-01 6.954354801960319632e-01 1.348056293404286121e-01 5.938516395594963804e-01 2.746917425000462432e-01 1.269813269685257096e-01 9.913051317493183356e-01 2.203560893424200140e-01 2.834677795498730113e-02
0.000000000000000000e+00 -2.942240480132969969e+04 2.722032873171231770e-01 7.160841992042522586e-01 7.350760885971227010e-01 6.222697421630899450e-01 8.906551437699106177e-01 2.840916101546323569e-01 2.966856506245562075e-01 9.855468238918299040e-01 8.765687584956431966e-01 2.631283994567279461e-01 4.311597901795982679e-02 8.125593122568234294e-01
0.000000000000000000e+00 -2.941615822548946380e+04 3.529027175866561450e-03 9.351258172750535058e-01 8.971552743165515098e-01 2.331951623986028288e-01 1.843369993508932048e-01 4.095041880009272495e-01 6.434881410503889843e-02 3.324616492142240531e-01 8.897884006047779293e-01 9.502042219692135028e-01 2.659013222060838677e-01 2.126306649347364797e-01
0.000000000000000000e+00 -2.935534606257450287e+04 4.490730681079678765e-01 9.451048333246889754e-01 8.921621476838779152e-01 3.547619916920106142e-01 8.321327572683869800e-01 5.763656821437276312e-01 9.196401883030245195e-01 5.426390980044226708e-01 6.130908731911488552e-02 1.105145359259701587e-01 6.525311073515589477e-01 6.239298309135733467e-01
0.000000000000000000e+00 -2.926140832329216937e+04 1.938870501801193136e-03 8.368997189125959579e-02 9.677266783420401808e-01 3.333773635065894192e-01 2.242558180150509006e-01 1.936291114703789784e-01 4.297273417716993560e-01 7.669683256697705787e-01 6.342907159565643882e-01 8.348422185093294923e-01 7.661187198494954220e-01 1.734401213902347916e-01
0.000000000000000000e+00 -2.893928063879999900e+04 5.572999419419335521e-01 9.738073323519299551e-01 9.791922920717590628e-01 3.573498539683493957e-01 1.743800871957498222e-01 5.288535932828349884e-01 1.899946417420341760e-01 7.917857161183293746e-01 3.819050414272576743e-01 1.669093745776575322e-01 5.057023097377877363e-04 5.071171932942414307e-01
0.000000000000000000e+00 -2.865564096998662717e+04 5.613648232645335190e-01 9.891379081554875219e-01 2.303469793543744260e-02 8.181007862821444432e-01 1.048954163288901009e-01 1.830092917194997559e-01 1.595273088126814010e-01 7.196995289389406247e-01 7.184796962320355584e-01 4.728803708765392244e-01 9.049996488685495555e-01 4.045104918500838087e-01
0.000000000000000000e+00 -2.859879866389273229e+04 7.282967809208892862e-02 9.003721413750683800e-01 5.391079413128007092e-01 5.319374399707906820e-01 5.516755708260630275e-02 8.151239447396089188e-01 5.226704735141392971e-02 1.555501845562765884e-01 2.603210899628067287e-01 2.902385750348774884e-01 2.108993999872030983e-02 7.866175942743455218e-01
0.000000000000000000e+00 -2.848507353964546564e+04 1.278566474752138582e-01 5.733333167401378772e-01 6.543321767018229762e-01 7.255581956104943941e-01 8.561874934054261033e-01 3.459685503738608725e-01 3.599357611523049671e-01 5.296636893617845399e-02 3.117395779570685255e-01 2.786802033351453156e-01 5.061341827353216249e-02 7.182148130861442104e-01
0.000000000000000000e+00 -2.822149284606663423e+04 2.127881001972646846e-01 7.909405801475729580e-01 4.237808893722176951e-01 8.944529523096902413e-01 1.402275156835991465e-01 5.117575243844885158e-01 6.877624186967591369e-01 3.855881421553629673e-01 2.339161528291922032e-02 1.777667582361822651e-01 4.381149720348230803e-01 1.946844109564563885e-01
0.000000000000000000e+00 -2.806465301416306465e+04 3.645584848021842239e-01 7.844559494590722659e-01 5.970991633855827763e-01 7.413142005686927938e-01 5.362410257238408029e-01 3.664120444762386519e-02 8.801918379913814539e-01 6.944708282539305833e-01 5.550052624073387175e-01 3.684389738314851614e-01 6.973531749376992162e-01 6.725251708714894416e-01
0.000000000000000000e+00 -2.784321456453187056e+04 1.182744258689332195e-01 6.399210213275238202e-01 1.433532874090464038e-01 9.446689170495838894e-01 5.218483217500716753e-01 4.146619399905235870e-01 2.645556121046269693e-01 7.742336894342166653e-01 4.561503322165485486e-01 5.684339488686485087e-01 1.878980043635514185e-02 6.176354970758770602e-01
0.000000000000000000e+00 -2.778919693848678071e+04 3.345597580281445271e-01 4.714303305517878462e-01 7.801000837688278899e-01 7.712221904916701787e-01 4.580821505807690652e-01 7.170822154490896772e-02 8.460807041834006448e-01 6.237430213070097595e-01 8.249470634470912334e-02 8.791525956890804405e-01 4.480183916377966646e-01 7.120831045221124311e-01
0.000000000000000000e+00 -2.759570816609578833e+04 1.801961326779639716e-01 7.168271464200552945e-01 9.672618000669630511e-02 9.711228127413371602e-01 2.438049909355788358e-02 3.921664374742834802e-01 2.154882323650014753e-01 2.986824766681956955e-01 9.217901837772827234e-01 2.842170675892405907e-01 5.757816730996452304e-01 3.566740078679436765e-01
0.000000000000000000e+00 -2.758238767341633502e+04 1.591637084365780386e-01 5.281963306786998658e-01 8.441553072790275447e-01 7.415938781967216231e-01 6.489431494630096275e-02 1.241465374390590265e-01 3.637288317587116238e-01 3.960681195857833070e-01 5.149227834328573561e-01 8.896711132212589135e-01 9.858388307764281988e-01 4.682698251374364240e-01
0.000000000000000000e+00 -2.719560192544162783e+04 4.933410877501408498e-01 8.483137755951339898e-01 8.812589878918127839e-01 2.152449695513799499e-01 1.424367575005102138e-01 1.553351310865397350e-01 3.715426865417432722e-01 9.515599809406157794e-01 1.380801809307913297e-01 7.200924393498496778e-01 7.359754542721215209e-01 5.329531468687296325e-01
0.000000000000000000e+00 -2.719292907712647502e+04 2.684958380487310059e-01 9.629335866231509833e-01 4.730422886504122015e-01 8.480226788164023644e-01 1.680852272242028267e-02 7.332133212846031478e-01 2.094071202170200152e-02 6.179559292449255947e-01 9.958855802784013500e-01 7.308631339043255570e-01 5.827816410606213582e-01 2.319036556999037879e-01
0.000000000000000000e+00 -2.683688516546792016e+04 1.244769057233061499e-01 6.165349488103670783e-01 3.233854114093737686e-01 8.835789473037582997e-01 3.758470989204779067e-01 7.438807947651714103e-02 1.014993807714513196e-01 2.053272565532081595e-01 9.974087160302809174e-01 1.195937833530045652e-01 5.191034812510065821e-01 9.240791639327896601e-01
0.000000000000000000e+00 -2.669829213649815210e+04 6.647260476691536635e-01 6.777305297937961104e-01 8.672291284811124434e-01 7.484913418789626016e-01 5.907195612069283674e-01 7.071157786957000813e-01 8.884364081104538791e-01 8.409550829197559585e-01 7.662775408669753041e-02 2.789177835996344834e-01 2.368642231997681868e-01 9.634799896418742016e-01
0.000000000000000000e+00 -2.661048326195011396e+04 8.726853088106146794e-01 8.433093608447531642e-01 6.424089514585218375e-02 7.826471993537366112e-01 5.237796640326344288e-01 3.795290475942456609e-01 9.831880504980868851e-01 7.742277860598008044e-01 7.007248704874103895e-01 3.853680287985825625e-01 6.426974524575433945e-01 8.939818476571095296e-01
0.000000000000000000e+00 -2.638343220449944783e+04 5.786588318451674207e-01 8.332417789414846565e-01 3.106808160009885134e-01 8.678701296027866441e-01 6.586606911883587934e-01 9.089079636099153259e-01 1.574954364543420526e-01 3.592199671623809154e-01 9.907832658189160702e-01 1.773934533727623553e-01 2.609786126964772635e-01 6.571596363054960088e-01
0.000000000000000000e+00 -2.628883301476526321e+04 5.819054005310044797e-01 3.366469853545629443e-01 8.523572927078320038e-01 1.187557461734413122e-01 9.652541513752755931e-01 1.126039635732958288e-01 7.150949195792939417e-01 5.986755581207725552e-01 7.253964807434188922e-01 1.490784606687703961e-01 7.374102284851732358e-01 5.405815224757739568e-01
0.000000000000000000e+00 -2.623052580819833020e+04 4.823221286377947781e-01 8.524504697643612294e-01 9.702758219816434160e-01 6.101695346584745661e-01 5.915668688960754595e-01 6.560496353926914548e-01 8.168983348986758042e-01 7.462489538071366280e-01 4.073527262203883170e-01 5.885524692923197465e-01 1.710235413491304479e-01 3.909754625873232969e-01
0.000000000000000000e+00 -2.613002836339868736e+04 3.096940273379178432e-02 6.306318144142636362e-01 2.550194479598630881e-01 8.739446792643439377e-01 7.321332217652691821e-01 4.913815764281805887e-01 8.017910743725007450e-01 6.901174043633524491e-01 5.348366793825739540e-01 6.507188031556040420e-01 7.141278019910956010e-01 6.594748097415042976e-01
0.000000000000000000e+00 -2.536888368020577764e+04 7.852552632779643549e-01 1.776361742737139759e-01 9.134320594345617383e-01 9.726335454088351484e-02 7.284130497035561091e-02 4.632868225176249855e-01 9.281531066353814197e-01 2.123165337114148871e-03 3.256858269427003183e-01 7.703616791548923981e-01 8.215738508012577768e-01 2.800593861828155617e-01
0.000000000000000000e+00 -2.534425580261333016e+04 3.986334958947680418e-01 6.674051561563567603e-01 9.543996760698469917e-01 7.445905760981875732e-01 7.335830104563499932e-01 7.489773112545982103e-01 9.245004006426160714e-02 6.066640152465925251e-01 8.568869463034647360e-01 3.845237533251772977e-01 4.762315871489442021e-01 5.138056038920958413e-01
0.000000000000000000e+00 -2.529618207911527134e+04 6.775563336679218951e-01 7.274839587299215538e-01 9.384043903925964880e-01 1.121270606113354829e-01 6.263672613956309254e-01 7.950960118230709917e-02 8.128120346378457928e-01 6.752005503770505124e-01 7.062048820849718966e-01 8.793249718132837289e-01 9.251260686504140240e-01 3.793468699941475730e-01
0.000000000000000000e+00 -2.514017884136009161e+04 7.896697279772978417e-01 6.945741444044533086e-01 1.320116979589184281e-01 7.582233915581152450e-01 4.796446103008394912e-01 9.056806212620706065e-01 9.012743517941078641e-01 6.942801491686823034e-02 8.179077393551029695e-01 7.789242372306925954e-02 3.063207545017583300e-01 7.607077104495998388e-01
0.000000000000000000e+00 -2.492175064044286046e+04 9.791202637170799417e-01 1.487801616389510251e-01 5.802374337738235299e-01 1.116741938065313189e-02 7.872760997894355794e-01 5.574966539688811507e-01 4.111817580543142281e-02 3.535967325632010105e-01 6.228927212836162797e-01 2.417585599781080230e-02 3.147315463711344297e-01 1.429174394555172700e-01
0.000000000000000000e+00 -2.488318907605445202e+04 8.984417193949429947e-01 7.153758356202377655e-01 5.669164694167146967e-01 9.446839934217172718e-01 8.602856060499104451e-01 6.135133069001328376e-01 4.328089245189820078e-01 5.791070766372352630e-02 3.676634119138503243e-01 2.761738919355962718e-01 7.592132418526640336e-01 8.689249347788620126e-01
0.000000000000000000e+00 -2.487100109921396142e+04 7.942241628893106364e-01 1.731207627459596665e-01 7.118107100810682208e-01 2.311179814318464754e-02 9.616887716929066743e-01 5.175013335256247737e-01 5.227415601294548297e-01 5.075585875309958084e-01 1.324699708910691553e-01 1.882448283374125175e-01 7.591595359350709060e-01 3.515506624514764811e-01
0.000000000000000000e+00 -2.484990107012374938e+04 9.659437816541351918e-01 8.740858723080940917e-01 6.746812732262963408e-02 8.026239555089225153e-01 8.984365815721078175e-01 1.162606353618748090e-01 4.170514503086211189e-01 3.226227445934283233e-01 8.849401206154515753e-01 1.505109774074593343e-01 8.016719469215858318e-01 9.858495043754523790e-01
0.000000000000000000e+00 -2.466356661503198848e+04 5.593204599495598117e-01 5.350487680390818568e-01 9.243240561520692511e-01 9.539841207963840608e-01 4.629089028041700749e-01 4.756182806950638442e-01 7.378969663523093914e-02 6.037590572538148459e-01 1.002672717364067045e-01 5.551549316474354567e-01 3.771001218778506914e-01 7.950952729363813809e-02
0.000000000000000000e+00 -2.451410183778433202e+04 5.596895792469602782e-01 7.889846249322096661e-02 9.353853142771453300e-01 4.425567588458521051e-01 1.990453098818731892e-01 1.786290836691505346e-01 5.004953623355367087e-01 9.902876575009555982e-02 4.865489411180412560e-02 6.373727435029452604e-02 3.952860709260683780e-01 6.925950090623925748e-01
0.000000000000000000e+00 -2.451143910199070160e+04 4.698308022719672739e-01 6.795756362506898407e-01 1.022191142214448067e-01 8.524402244408897378e-01 5.504082366703217932e-01 7.332392621258615462e-01 9.962074913725783576e-01 5.332637065017846734e-01 1.546685002083163507e-01 1.293172947142655627e-01 3.740993158553204134e-01 2.603361642243211538e-01
0.000000000000000000e+00 -2.441058098065299055e+04 6.137754659419482062e-01 7.167554047374852244e-01 2.841108822800120226e-01 8.094891014091860626e-01 2.591285454372409536e-01 3.557790510709294418e-01 7.894831467419249904e-01 4.172554473655022411e-01 1.513324035971416182e-01 1.513576934130432816e-01 9.778302729020916795e-01 8.609242742366441936e-01
0.000000000000000000e+00 -2.430006956964474011e+04 7.043989678921325215e-02 6.782795824982587041e-01 1.582228668675091932e-01 7.374992084293560124e-01 3.772810046094527969e-01 1.301942858069045084e-01 9.007104519984054924e-01 3.829521139581488764e-01 8.043883867852995584e-01 1.549746039873008963e-01 8.989238505329801843e-01 8.398364830571465323e-01
0.000000000000000000e+00 -2.428861365437280620e+04 1.441755375589786059e-01 2.106181691501074482e-01 9.518529865852001226e-01 4.607031021693368533e-01 4.779873591867276339e-01 3.439031468877215003e-01 8.348869690085358730e-02 1.796911043254055818e-01 4.912212901317075664e-01 8.726597417262287326e-01 2.593863177176393142e-01 1.192582302336806510e-01
0.000000000000000000e+00 -2.414440009972454573e+04 9.917205602032728162e-01 5.514085687971997940e-01 8.915811858688474922e-01 1.869000700889769107e-01 5.410076599974662503e-01 8.355013177917147704e-02 3.414595274799178126e-01 6.503869461180157296e-01 2.912563197329484099e-01 2.964083602998345279e-01 5.307824627932128392e-01 8.136571124950374712e-01
0.000000000000000000e+00 -2.359307325688250785e+04 2.955839182418462663e-01 9.484961735662075233e-01 9.768730405371535142e-01 4.437937688991968610e-01 2.501283628837396300e-01 8.128384254711159551e-01 1.098984122107802275e-01 5.886375704814783560e-02 9.173388636967593213e-01 3.432451493331225567e-01 5.018875420236950102e-01 2.476554887495163726e-01
0.000000000000000000e+00 -2.358027157458994043e+04 4.937827652549235946e-01 5.230248337845910811e-02 8.638472642603263196e-01 2.463461047729084141e-01 7.544042619597832733e-01 5.466247683907736743e-01 6.303389828975025644e-02 5.717466062045145625e-01 4.513974922375117993e-01 6.868558624971646820e-01 9.554134256636187539e-01 1.569427467942051679e-01
0.000000000000000000e+00 -2.347738158270200802e+04 2.925505914741747260e-01 9.122201606324645828e-01 4.698998095954037835e-01 5.258750969404821785e-01 7.265472302940737537e-01 6.560601525856823990e-01 4.420794820432691896e-01 1.134042372688200961e-01 5.917287711832541763e-01 2.097594898184250711e-01 5.878696744700948607e-01 8.248673703209891128e-01
0.000000000000000000e+00 -2.340478699900056745e+04 1.746047830082538832e-01 6.014614683964522035e-01 2.746853489962681749e-01 9.118388639146987051e-01 4.556803209928189657e-01 3.481776590173818464e-01 6.338346345595884390e-01 9.684859278192903265e-02 7.194415361065997772e-02 1.803569392252434289e-01 2.650503579958083389e-01 3.172901910113233859e-01
0.000000000000000000e+00 -2.296398637225000857e+04 5.409504122315055286e-01 8.232606922572578423e-01 9.493944228680260000e-01 5.546210204446911929e-01 9.759282859526011711e-01 8.095489778011593085e-01 7.935841815423606560e-01 7.028028410027280515e-01 4.305027280910836973e-01 9.526034460387460268e-01 8.677507537639245205e-01 6.221955494528281783e-01
