16:55:27 [ultranest] [DEBUG] ReactiveNestedSampler: dims=12+0, resume=False, log_dir=/home/ubuntu/docs_runs/ultranest_trgb_20260813/un_lcdm_trgb_ev_prod, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
16:56:10 [ultranest] [INFO] Sampling 400 live points from prior ...
16:58:14 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
16:58:14 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
16:58:14 [ultranest] [DEBUG] minimal_widths_sequence: [(np.float64(-inf), np.float64(400.0)), (np.float64(inf), np.float64(400.0))]
17:40:01 [ultranest] [DEBUG] iteration=139, ncalls=7216, regioncalls=0, ndraw=40, logz=-18480.30, remainder_fraction=100.0000%, Lmin=-18428.01, Lmax=-1922.48
17:41:50 [ultranest] [DEBUG] iteration=142, ncalls=7504, regioncalls=0, ndraw=40, logz=-18222.62, remainder_fraction=100.0000%, Lmin=-18123.20, Lmax=-1922.48
17:42:23 [ultranest] [DEBUG] iteration=144, ncalls=7600, regioncalls=0, ndraw=40, logz=-18036.38, remainder_fraction=100.0000%, Lmin=-17967.04, Lmax=-1922.48
17:43:55 [ultranest] [DEBUG] iteration=146, ncalls=7888, regioncalls=0, ndraw=40, logz=-17969.12, remainder_fraction=100.0000%, Lmin=-17928.19, Lmax=-1922.48
17:44:27 [ultranest] [DEBUG] iteration=147, ncalls=7984, regioncalls=0, ndraw=40, logz=-17934.55, remainder_fraction=100.0000%, Lmin=-17856.14, Lmax=-1922.48
17:45:01 [ultranest] [DEBUG] iteration=150, ncalls=8080, regioncalls=0, ndraw=40, logz=-17818.71, remainder_fraction=100.0000%, Lmin=-17782.17, Lmax=-1922.48
17:45:36 [ultranest] [DEBUG] iteration=152, ncalls=8176, regioncalls=0, ndraw=40, logz=-17407.27, remainder_fraction=100.0000%, Lmin=-17372.40, Lmax=-1922.48
17:46:25 [ultranest] [DEBUG] iteration=155, ncalls=8272, regioncalls=0, ndraw=40, logz=-17312.96, remainder_fraction=100.0000%, Lmin=-17204.40, Lmax=-1922.48
17:47:15 [ultranest] [DEBUG] iteration=159, ncalls=8368, regioncalls=0, ndraw=40, logz=-17085.26, remainder_fraction=100.0000%, Lmin=-17076.96, Lmax=-1922.48
17:47:15 [ultranest] [DEBUG] iteration=160, ncalls=8368, regioncalls=0, ndraw=40, logz=-17083.21, remainder_fraction=100.0000%, Lmin=-16880.81, Lmax=-1922.48
17:48:04 [ultranest] [DEBUG] iteration=163, ncalls=8464, regioncalls=0, ndraw=40, logz=-16859.10, remainder_fraction=100.0000%, Lmin=-16832.17, Lmax=-1922.48
17:48:39 [ultranest] [DEBUG] iteration=165, ncalls=8560, regioncalls=0, ndraw=40, logz=-16726.35, remainder_fraction=100.0000%, Lmin=-16697.54, Lmax=-1922.48
17:49:06 [ultranest] [DEBUG] iteration=168, ncalls=8656, regioncalls=0, ndraw=40, logz=-16615.54, remainder_fraction=100.0000%, Lmin=-16499.61, Lmax=-1922.48
17:50:23 [ultranest] [DEBUG] iteration=171, ncalls=8848, regioncalls=0, ndraw=40, logz=-16431.19, remainder_fraction=100.0000%, Lmin=-16334.77, Lmax=-1922.48
17:51:03 [ultranest] [DEBUG] iteration=172, ncalls=8944, regioncalls=0, ndraw=40, logz=-16341.19, remainder_fraction=100.0000%, Lmin=-16151.36, Lmax=-1922.48
17:51:32 [ultranest] [DEBUG] iteration=175, ncalls=9040, regioncalls=0, ndraw=40, logz=-15951.28, remainder_fraction=100.0000%, Lmin=-15906.46, Lmax=-1922.48
17:52:05 [ultranest] [DEBUG] iteration=176, ncalls=9136, regioncalls=0, ndraw=40, logz=-15912.89, remainder_fraction=100.0000%, Lmin=-15888.73, Lmax=-1922.48
17:53:53 [ultranest] [DEBUG] iteration=180, ncalls=9424, regioncalls=0, ndraw=40, logz=-15669.77, remainder_fraction=100.0000%, Lmin=-15607.43, Lmax=-1922.48
17:55:02 [ultranest] [DEBUG] iteration=182, ncalls=9616, regioncalls=0, ndraw=40, logz=-15560.39, remainder_fraction=100.0000%, Lmin=-15443.96, Lmax=-1922.48
17:56:25 [ultranest] [DEBUG] iteration=184, ncalls=9808, regioncalls=0, ndraw=40, logz=-15435.71, remainder_fraction=100.0000%, Lmin=-15410.80, Lmax=-1922.48
17:57:15 [ultranest] [DEBUG] iteration=186, ncalls=9904, regioncalls=0, ndraw=40, logz=-15300.26, remainder_fraction=100.0000%, Lmin=-15293.21, Lmax=-1922.48
17:57:56 [ultranest] [DEBUG] iteration=187, ncalls=10000, regioncalls=0, ndraw=40, logz=-15299.23, remainder_fraction=100.0000%, Lmin=-15261.44, Lmax=-1922.48
17:59:08 [ultranest] [DEBUG] iteration=188, ncalls=10192, regioncalls=0, ndraw=40, logz=-15267.90, remainder_fraction=100.0000%, Lmin=-15241.43, Lmax=-1922.48
