logz logzerr logvol nlive logl logwt insert_order
-3.192091263264016743e+04 5.571259303542716168e+01 -5.250000000000001193e-02 4.000000000000000000e+02 -3.170023548808206397e+04 -3.170628070236875647e+04 8.599999999999999867e-01
-3.170628070236875647e+04 1.324608505160076106e+02 -5.500000000000001416e-02 4.000000000000000000e+02 -3.169304907230662866e+04 -3.169909678659331985e+04 7.349999999999999867e-01
-3.169909602818982603e+04 1.140187753387387630e+02 -5.750000000000001638e-02 4.000000000000000000e+02 -3.103550601375440237e+04 -3.104155622804109225e+04 1.965000000000000080e+00
-3.104155622804109225e+04 3.281150131661406704e+02 -6.000000000000001860e-02 4.000000000000000000e+02 -3.085724901376733760e+04 -3.086330172805402981e+04 5.300000000000000266e-01
-3.086330172805402981e+04 4.586716806688426118e+02 -6.250000000000001388e-02 4.000000000000000000e+02 -3.062731135117670055e+04 -3.063336656546339145e+04 1.405000000000000027e+00
-3.063336656546339145e+04 3.933732023253236321e+02 -6.500000000000001610e-02 4.000000000000000000e+02 -3.022829500588501105e+04 -3.023435272017170064e+04 1.129999999999999893e+00
-3.023435272017170064e+04 4.112929264037481971e+02 -6.750000000000001832e-02 4.000000000000000000e+02 -3.003871475437415938e+04 -3.004477496866085130e+04 3.150000000000000022e-01
-3.004477496866085130e+04 1.661824549438345571e+02 -7.000000000000002054e-02 4.000000000000000000e+02 -2.992486913401495985e+04 -2.993093184830165046e+04 1.370000000000000107e+00
-2.993093184830165046e+04 8.913162699036669778e+01 -7.250000000000002276e-02 4.000000000000000000e+02 -2.989742531211079768e+04 -2.990349052639749061e+04 1.909999999999999920e+00
-2.990349052639749061e+04 4.865300621360749744e+01 -7.500000000000002498e-02 4.000000000000000000e+02 -2.876020428697302850e+04 -2.876627200125972013e+04 3.099999999999999978e-01
-2.876627200125972013e+04 5.392783962603135706e+02 -7.750000000000002720e-02 4.000000000000000000e+02 -2.863954899856230259e+04 -2.864561921284899290e+04 5.300000000000000266e-01
-2.864561921284899290e+04 5.629148490345177152e+02 -8.000000000000002942e-02 4.000000000000000000e+02 -2.845249380844154803e+04 -2.845856652272824067e+04 9.050000000000000266e-01
-2.845856652272824067e+04 3.895175312606099283e+02 -8.250000000000003164e-02 4.000000000000000000e+02 -2.830621613631219952e+04 -2.831229135059889086e+04 1.324999999999999956e+00
-2.831229135059889086e+04 1.432028950105384695e+02 -8.500000000000003386e-02 4.000000000000000000e+02 -2.821753322891391508e+04 -2.822361094320060511e+04 1.899999999999999911e+00
-2.822361094320060511e+04 1.385197975990691930e+02 -8.750000000000003608e-02 4.000000000000000000e+02 -2.816282110358212594e+04 -2.816890131786881830e+04 2.800000000000000266e-01
-2.816890131786881830e+04 1.230478979583509300e+02 -9.000000000000003830e-02 4.000000000000000000e+02 -2.796901663915113750e+04 -2.797509935343782854e+04 1.229999999999999982e+00
-2.797509935343782854e+04 9.145695524765120865e+01 -9.250000000000004052e-02 4.000000000000000000e+02 -2.794742917815683177e+04 -2.795351439244352150e+04 8.499999999999999778e-01
-2.795351439244309950e+04 9.413575630720721676e+01 -9.500000000000004274e-02 4.000000000000000000e+02 -2.786810569290913554e+04 -2.787419340719582760e+04 1.854999999999999982e+00
-2.787419340719582760e+04 8.375652748070373832e+01 -9.750000000000004496e-02 4.000000000000000000e+02 -2.763132514133551740e+04 -2.763741535562220815e+04 3.699999999999999956e-01
-2.763741535562220815e+04 1.162024670231166965e+02 -1.000000000000000472e-01 4.000000000000000000e+02 -2.756327611542338491e+04 -2.756936882971007799e+04 7.349999999999999867e-01
-2.756936882971007799e+04 2.961423297547969113e+01 -1.025000000000000494e-01 4.000000000000000000e+02 -2.752408996290292635e+04 -2.753018517718961812e+04 9.749999999999999778e-01
-2.753018517718961812e+04 1.417607550115164372e+01 -1.050000000000000516e-01 4.000000000000000000e+02 -2.748930126002405814e+04 -2.749539897431074860e+04 5.250000000000000222e-01
-2.749539897431074860e+04 1.312426397073931028e+01 -1.075000000000000538e-01 4.000000000000000000e+02 -2.723069388561496089e+04 -2.723679409990165368e+04 1.104999999999999982e+00
