omega_b H0 logA omega_cdm n_s z_reio A_planck A_act P_act Tcal Ecal m_ncdm
2.238744901928145861e-02 6.914740533378710552e+01 3.062738837664272129e+00 1.160157636658143143e-01 9.804896632648328891e-01 9.182655545720319168e+00 9.986822355122434436e-01 9.972392919467004679e-01 1.003075393035245177e+00 9.984098103563365800e-01 1.005366983779337309e+00 3.928290714092639441e-02
2.245694066745012457e-02 6.874650478966825062e+01 3.049931746285443612e+00 1.177482358200238749e-01 9.722759741657447385e-01 7.943201531076432786e+00 1.002332439906638228e+00 9.993765347985431591e-01 1.004664178792266105e+00 1.001670206203684410e+00 1.002282830503947952e+00 3.289940776288140852e-03
2.264867126967783084e-02 6.852848901575974594e+01 3.046625482973328580e+00 1.182866748206632956e-01 9.700485095293689408e-01 7.858627735474022380e+00 1.000743731783074297e+00 9.979807748202069728e-01 1.005042205685583445e+00 9.999507724242928663e-01 9.963339972911461340e-01 1.900009377574189695e-02
2.245293986366964090e-02 6.870062831947086579e+01 3.049390947576924304e+00 1.177410226671831150e-01 9.696376302510479883e-01 8.215329717299127310e+00 1.000408958895087075e+00 9.988595052090589732e-01 1.001489557895607785e+00 9.978767311662957162e-01 1.002648802908018943e+00 1.470995460531214841e-02
2.256767955255305907e-02 6.853906548071506677e+01 3.054406988567432979e+00 1.183193850089525323e-01 9.680999237789869039e-01 8.086617411427759805e+00 1.002618227246743876e+00 1.000787165383113075e+00 1.001034848558783441e+00 9.972962426000691050e-01 1.001726747042335219e+00 2.296300034364288575e-02
2.249689217216254214e-02 6.871133963069034678e+01 3.029704070082345879e+00 1.179614418834512846e-01 9.732332280512532297e-01 7.246957197913667770e+00 9.994062320733384519e-01 9.989137870972304434e-01 1.003641935628327930e+00 1.000110343745758135e+00 9.972737727441529643e-01 8.132753051924984655e-03
2.244278186961983987e-02 6.853463646783021090e+01 3.051387334148350394e+00 1.187126326523535585e-01 9.712807639041414198e-01 7.963810418809391223e+00 1.001987975724579982e+00 1.000768030178524448e+00 1.003209054878175133e+00 9.985130097687229256e-01 1.003672817638623593e+00 6.710895481569914729e-03
2.254939176057704081e-02 6.895717843863135954e+01 3.061845154141836112e+00 1.172198268201417176e-01 9.785346126115992416e-01 8.800735894012575500e+00 1.000959271829694464e+00 9.989782953461413539e-01 1.000259130255547024e+00 1.002686848703757905e+00 1.004109545170716489e+00 1.029506539020916614e-02
2.259429924965923250e-02 6.879836250349283944e+01 3.041655595211342877e+00 1.180059533045728359e-01 9.681756892267272541e-01 7.531319492064233678e+00 1.000745702189717257e+00 9.980929617782495766e-01 1.006294897188153792e+00 9.988915687543111765e-01 1.001837803015982686e+00 3.147869803002215690e-03
2.269143142129812982e-02 6.859451924042068072e+01 3.056504089719116468e+00 1.181066802651132286e-01 9.709447445498818885e-01 8.168686386680203526e+00 1.001687773045272012e+00 9.988910918168703024e-01 1.006141879855642740e+00 1.003711673552794448e+00 1.008406611225059812e+00 3.074667012556166548e-02
2.250341076482265806e-02 6.857892912152080100e+01 3.062943521335780961e+00 1.184903818298472522e-01 9.723117810543689954e-01 8.615535034182425278e+00 1.002158117659969649e+00 9.996420418703280131e-01 1.005220682760944895e+00 9.997432949688388470e-01 1.007799727674239199e+00 3.914964414863999868e-03
2.260770703258569575e-02 6.894129704969495265e+01 3.064524643177164442e+00 1.175802006646476661e-01 9.719176876279101984e-01 8.260382213005524221e+00 1.004755582453882079e+00 1.002643263882260660e+00 1.003907475185629172e+00 1.000762571823355485e+00 1.004846627989825159e+00 2.207319361271441877e-02
2.250061133587238221e-02 6.848849238626748104e+01 3.040523270267175171e+00 1.183596004033745652e-01 9.686069876828115044e-01 7.493209078901317710e+00 1.002740087607803865e+00 9.999262318644479564e-01 1.002754234203698580e+00 1.001985014124646467e+00 1.001296242890240107e+00 6.942063688403699549e-03
2.231317385114798754e-02 6.825678920511174397e+01 3.049191906268638785e+00 1.184537637642932156e-01 9.696227895758984250e-01 7.670253290758150655e+00 1.004556608298485587e+00 1.003834706479433514e+00 1.001631486951451766e+00 1.002450565677296845e+00 1.003711137643884532e+00 2.178383426092530759e-02
2.249847632671136272e-02 6.861992769877878118e+01 3.070685229585821130e+00 1.182463706965667105e-01 9.757254132044155259e-01 9.116946680258653402e+00 1.000816000978673515e+00 1.002862161956212583e+00 9.987531326929108833e-01 9.996694768030678357e-01 9.949245527568405523e-01 8.856034081637677996e-03
