weight logl omega_b H0 logA omega_cdm n_s z_reio A_planck A_act P_act Tcal Ecal m_ncdm
0.000000000000000000e+00 -3.759401715922664152e+04 2.329924452054660255e-02 7.705918782238870790e+01 2.936263154717705159e+00 1.361631156512991825e-01 9.451336224989346224e-01 1.135780943775767859e+01 1.005077512067524825e+00 9.952500027919739534e-01 1.088226159169100926e+00 9.830483813575141561e-01 1.017392928998193335e+00 4.341346562583882629e-01
0.000000000000000000e+00 -3.751832484352154279e+04 2.294573977902292228e-02 7.753632766613486638e+01 3.219017266116696252e+00 1.242548298932863449e-01 1.007241989919545944e+00 7.861027090235790382e+00 9.908153231713510145e-01 1.011626319457341827e+00 9.024396798471527870e-01 1.000842027019109182e+00 1.031610641576329312e+00 2.090312224856406831e-01
0.000000000000000000e+00 -3.737008330143547937e+04 2.152797000888603471e-02 7.485227655096568355e+01 3.083820030669659928e+00 1.297386899185230813e-01 9.825473740029021519e-01 6.135591948598515089e+00 9.916476593833294384e-01 9.903465210964730314e-01 9.015642337992777477e-01 1.004195464061371501e+00 9.748284951834319534e-01 5.399295983390747233e-01
0.000000000000000000e+00 -3.502037257353709720e+04 2.182264292117098645e-02 7.776519383344403025e+01 3.088845045681891666e+00 1.373731750812383634e-01 9.505856687197777877e-01 5.208987366872050551e+00 9.997088725367796469e-01 9.942165084231366912e-01 1.050043587819211810e+00 1.007269433443595208e+00 9.749534774674901705e-01 1.876485954948440560e-01
0.000000000000000000e+00 -3.476695170612885704e+04 2.009610732037309805e-02 7.604614509612207485e+01 3.172331805597122134e+00 1.094930707926548424e-01 1.015615138696085440e+00 6.556422550246270298e+00 9.944625568949571059e-01 9.913485829107997471e-01 9.629459031158559279e-01 9.906679870268320087e-01 9.728316184147406398e-01 4.449901873431025279e-01
0.000000000000000000e+00 -3.452351287760183914e+04 2.146376370135090472e-02 7.727491819393395645e+01 3.200837877614656879e+00 1.265171258027004697e-01 1.011837284083698663e+00 8.731360541166989009e+00 9.925223867379875387e-01 9.926454813345247929e-01 9.706984973037940945e-01 1.016756319648621787e+00 1.018874348884005521e+00 1.328757049153362901e-01
0.000000000000000000e+00 -3.442933156249584135e+04 2.119170920264983049e-02 6.926152184204701712e+01 3.210953588606744624e+00 1.033048735308273319e-01 1.005090859048588525e+00 4.376987767963754550e+00 9.989348062082210600e-01 1.006658268400967504e+00 1.010137995706129610e+00 9.831180069016268730e-01 1.010499877199052099e+00 2.372072487528243678e-01
0.000000000000000000e+00 -3.403896611195217702e+04 2.056573860797611744e-02 7.267435683361817667e+01 3.074616767253933514e+00 1.371688375271932214e-01 9.753829558563439361e-01 5.176159602689008210e+00 9.948281082596532876e-01 1.006325975149081398e+00 9.850391586427076351e-01 9.957544506442734811e-01 9.810333782229782029e-01 5.639197501972280646e-01
0.000000000000000000e+00 -3.263451379353351149e+04 2.192598870066474886e-02 7.110730729073526390e+01 3.228978034916748729e+00 1.037817218152984194e-01 9.430530289956711165e-01 5.762952363214180806e+00 9.947081368093073639e-01 9.944163626468065509e-01 9.051234762429433145e-01 1.022115338463977841e+00 9.678563194617546550e-01 4.428778290598673339e-01
0.000000000000000000e+00 -3.202607942589014783e+04 2.185772419400043923e-02 7.193002672269705045e+01 3.210479045781557517e+00 1.376763367165729224e-01 9.208389891104559188e-01 4.827990780457286135e+00 9.911306305684087770e-01 9.903835753359570004e-01 1.064400784641172049e+00 9.911073290008302061e-01 9.896646852202428679e-01 2.439342501604704061e-01
