16:55:11 [ultranest] [DEBUG] ReactiveNestedSampler: dims=12+0, resume=False, log_dir=/home/ubuntu/docs_runs/ultranest_noh0_20260813/un_lcdm_noh0_ev_prod, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
16:55:56 [ultranest] [INFO] Sampling 400 live points from prior ...
16:57:59 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
16:57:59 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
16:57:59 [ultranest] [DEBUG] minimal_widths_sequence: [(np.float64(-inf), np.float64(400.0)), (np.float64(inf), np.float64(400.0))]
17:32:28 [ultranest] [DEBUG] iteration=72, ncalls=5968, regioncalls=0, ndraw=40, logz=-23483.55, remainder_fraction=100.0000%, Lmin=-23404.79, Lmax=-1976.11
17:32:57 [ultranest] [DEBUG] iteration=73, ncalls=6064, regioncalls=0, ndraw=40, logz=-23410.96, remainder_fraction=100.0000%, Lmin=-22963.99, Lmax=-1976.11
17:33:27 [ultranest] [DEBUG] iteration=75, ncalls=6160, regioncalls=0, ndraw=40, logz=-22805.89, remainder_fraction=100.0000%, Lmin=-22759.04, Lmax=-1976.11
17:33:57 [ultranest] [DEBUG] iteration=77, ncalls=6256, regioncalls=0, ndraw=40, logz=-22709.35, remainder_fraction=100.0000%, Lmin=-22436.24, Lmax=-1976.11
17:34:41 [ultranest] [DEBUG] iteration=80, ncalls=6352, regioncalls=0, ndraw=40, logz=-22401.93, remainder_fraction=100.0000%, Lmin=-22378.77, Lmax=-1976.11
17:35:28 [ultranest] [DEBUG] iteration=82, ncalls=6448, regioncalls=0, ndraw=40, logz=-22348.26, remainder_fraction=100.0000%, Lmin=-22313.55, Lmax=-1976.11
17:36:04 [ultranest] [DEBUG] iteration=84, ncalls=6544, regioncalls=0, ndraw=40, logz=-22315.40, remainder_fraction=100.0000%, Lmin=-22167.33, Lmax=-1976.11
17:36:56 [ultranest] [DEBUG] iteration=85, ncalls=6640, regioncalls=0, ndraw=40, logz=-22173.53, remainder_fraction=100.0000%, Lmin=-21780.43, Lmax=-1976.11
17:37:46 [ultranest] [DEBUG] iteration=87, ncalls=6736, regioncalls=0, ndraw=40, logz=-21712.03, remainder_fraction=100.0000%, Lmin=-21613.28, Lmax=-1976.11
17:38:38 [ultranest] [DEBUG] iteration=89, ncalls=6832, regioncalls=0, ndraw=40, logz=-21548.06, remainder_fraction=100.0000%, Lmin=-21515.70, Lmax=-1976.11
17:39:20 [ultranest] [DEBUG] iteration=93, ncalls=6928, regioncalls=0, ndraw=40, logz=-20825.69, remainder_fraction=100.0000%, Lmin=-20807.63, Lmax=-1976.11
17:40:39 [ultranest] [DEBUG] iteration=95, ncalls=7120, regioncalls=0, ndraw=40, logz=-20778.63, remainder_fraction=100.0000%, Lmin=-20680.02, Lmax=-1976.11
