weight logl omega_b H0 logA omega_cdm n_s z_reio A_planck A_act P_act Tcal Ecal m_ncdm
0.000000000000000000e+00 -3.533292981454284018e+04 2.164195146436019568e-02 7.575826722149659531e+01 3.071284436266684903e+00 1.353772870613733637e-01 9.255218504247829658e-01 6.939285840301955055e+00 9.999391433068650636e-01 9.867176126068890607e-01 9.309091373442270889e-01 1.000496886001534858e+00 9.961914569891675564e-01 3.903834249003818591e-01
0.000000000000000000e+00 -3.521828465226489061e+04 2.272643444421768022e-02 6.442856367595454969e+01 3.240707502808153340e+00 1.088824993178022504e-01 9.810582258117260812e-01 7.010666167045298103e+00 1.002249716746739905e+00 1.007629836603834761e+00 1.077784108072600278e+00 9.946913592318977759e-01 1.002883309246215493e+00 3.260667503272802331e-02
0.000000000000000000e+00 -3.508548165582911315e+04 2.157351454758931614e-02 7.753828916512948410e+01 3.178883832609351590e+00 1.331160809974190617e-01 9.428325540243317482e-01 9.641723405433403116e+00 9.878498091992233832e-01 9.876005955120795710e-01 9.979883481987897875e-01 9.972820203357370961e-01 9.965230980080510559e-01 1.920366041108980959e-01
0.000000000000000000e+00 -3.472591611869000189e+04 2.348878516244910786e-02 7.757244512507493539e+01 3.245311658600599447e+00 1.162233194935603509e-01 9.424848825719320811e-01 7.207939477375632897e+00 9.876107178068725956e-01 9.859302071430141590e-01 9.298777959901646240e-01 9.929638687737160074e-01 9.897895749044394176e-01 2.365221111931654074e-01
0.000000000000000000e+00 -3.461349453225274920e+04 2.023779084624870162e-02 6.450281290284422653e+01 3.239861544986248898e+00 1.141320552504425379e-01 9.254092376508401552e-01 4.234068092099030345e+00 9.964626871202543201e-01 9.870897934287959918e-01 1.006991840846416686e+00 9.877214125259442534e-01 9.655828818182290441e-01 5.925254558352498480e-01
0.000000000000000000e+00 -3.442930609421451663e+04 2.043281122406546274e-02 7.568985184535844724e+01 3.020758801150123407e+00 1.333004515965285908e-01 1.018307583829692664e+00 1.139575191920869557e+01 9.924308760521255435e-01 1.003273660482563834e+00 9.280685034325287797e-01 1.022350604866072654e+00 9.980631953961103253e-01 3.835634540507205648e-01
0.000000000000000000e+00 -3.394038072714322334e+04 2.478706235019398699e-02 7.676186594072990488e+01 3.223602034306976449e+00 1.315279726959509843e-01 9.584113420227307056e-01 8.146277542484963163e+00 9.906749611447686066e-01 9.878264403979296615e-01 1.000582281600415513e+00 9.882833737663627716e-01 1.017847788186547309e+00 4.842853975869543803e-01
0.000000000000000000e+00 -3.375134374628986552e+04 2.223466805689134143e-02 7.120668353951333529e+01 3.244721355744504709e+00 1.278053263209147361e-01 9.604815396564564400e-01 6.645384804388984712e+00 9.970383013218384605e-01 1.000434170938347300e+00 9.235883529263647640e-01 9.986517044350324834e-01 9.730779699735108146e-01 4.306529793821025076e-01
0.000000000000000000e+00 -3.360176224657335115e+04 2.106117486720228416e-02 7.429182720129082895e+01 3.125825555422145907e+00 1.365967710809198876e-01 9.686487333700396496e-01 5.034787492625497407e+00 1.009531227649378859e+00 9.966127112790360565e-01 1.008342326197510852e+00 9.823144610412501976e-01 1.018426886950182464e+00 3.345991386169236415e-01
0.000000000000000000e+00 -3.359851416538873309e+04 2.036729927311028976e-02 7.658932870544174421e+01 3.123931158839399203e+00 1.201660593179007391e-01 1.013930140144711389e+00 8.732064849479462154e+00 1.012387593760928794e+00 9.944784109462483368e-01 9.225676958253042903e-01 1.017904814750619780e+00 1.030047068823183531e+00 4.934021962852320753e-01
0.000000000000000000e+00 -3.348844880883292353e+04 2.346501788250742598e-02 7.785519091450946405e+01 3.219547686459258262e+00 1.202014022731131143e-01 1.023057428392480261e+00 8.532615788189200856e+00 9.930830255525260331e-01 9.857231456293007454e-01 9.490150740588733091e-01 1.000548768852400405e+00 9.916713142283902771e-01 2.969080819805027249e-01
0.000000000000000000e+00 -3.317062814799516491e+04 2.199717096356132440e-02 7.606785559106867822e+01 3.198073388585925159e+00 1.216347465701985431e-01 9.702540338116386609e-01 5.700704524459851541e+00 9.992090672818367825e-01 1.005513200416742636e+00 9.588131129148363962e-01 9.776275013812860681e-01 1.013204448629059673e+00 2.816807827520688146e-01
0.000000000000000000e+00 -3.316972178225196694e+04 2.364027319472979463e-02 7.743023089168784168e+01 3.205848368620229039e+00 1.123167545410600765e-01 1.018623467207007138e+00 4.395879982604666836e+00 1.002585645051331076e+00 9.871746550010437327e-01 9.996151821291771045e-01 1.010858081555178645e+00 9.777503614155818035e-01 2.978374611075061962e-01
0.000000000000000000e+00 -3.292562833763772505e+04 2.004036277903907884e-02 6.450978040798403867e+01 3.247671699899919773e+00 1.048461704893708796e-01 9.691802204477135696e-01 8.156761022559631868e+00 1.008596479933208778e+00 1.002148501436092687e+00 9.114862534914465186e-01 1.010053921477566563e+00 9.827176372247593550e-01 3.251986472117428528e-01
0.000000000000000000e+00 -3.202040529865529970e+04 2.474350815379112653e-02 6.424332227093051984e+01 3.235516384691835334e+00 1.171690237888784319e-01 9.355492563340591650e-01 4.274600847807326964e+00 9.977063840807340878e-01 9.883269004644381628e-01 9.601670834886355532e-01 1.016139081949890333e+00 1.015025551647557256e+00 2.030518830258225549e-01
