omega_b H0 logA omega_cdm n_s z_reio A_planck A_act P_act Tcal Ecal m_ncdm
2.236089282649489710e-02 6.816763838301476142e+01 3.088896174005505646e+00 1.181812752704698849e-01 9.752384774794113920e-01 1.019846917364883687e+01 9.984115612562128872e-01 9.987566109351966315e-01 1.001907506632350620e+00 9.958566745839985135e-01 9.993751242253152700e-01 3.775567140077506351e-02
2.242144592086473681e-02 6.830280529577852633e+01 3.047858181447979931e+00 1.181999488793513131e-01 9.741200376835771335e-01 7.831920011299615680e+00 1.001951610268001502e+00 1.001537562100719425e+00 1.004350363039798300e+00 9.981179666196917655e-01 1.003174032783338721e+00 2.633109252350634630e-02
2.234806018391386623e-02 6.836677457298571881e+01 3.009306809943564254e+00 1.181369609791161207e-01 9.720043193311549423e-01 6.047550783836936006e+00 1.000407339099579795e+00 9.981798795086935794e-01 1.006961836746751660e+00 1.000656076539196748e+00 1.006295433423842089e+00 2.470597062369596364e-02
2.249268338269874712e-02 6.842865076499623456e+01 3.034308707878486278e+00 1.187514222941160880e-01 9.689774202605501152e-01 7.698004795780843068e+00 9.967960020277391031e-01 9.951518495686800803e-01 1.002741490735856944e+00 9.947386264863898875e-01 1.001319416120964645e+00 6.361959736662649648e-03
2.249462561327011945e-02 6.831037317171497136e+01 3.033763740428247146e+00 1.192518804510074026e-01 9.658873547634794221e-01 7.179847194598751869e+00 9.991322847137917851e-01 9.961006148017113038e-01 1.004462703740629959e+00 9.967322178864203019e-01 1.004286060371753386e+00 3.226689271607433300e-04
2.232784651613772473e-02 6.831055934662815332e+01 3.040603256860656245e+00 1.185182041144908494e-01 9.710685643258417654e-01 7.509900798307290515e+00 1.001866741900996560e+00 1.004326040552186328e+00 9.988414929515425644e-01 9.983981577500584681e-01 9.996670616110437946e-01 2.124271355333335817e-02
2.249615742358046511e-02 6.831777303427313086e+01 3.063476382783553831e+00 1.190347287309388852e-01 9.694967692957909833e-01 8.876172139464134858e+00 9.987587808497347952e-01 9.971388791154531805e-01 9.967485662473088981e-01 9.943561924601311830e-01 9.976611031662985241e-01 1.613768308611510799e-02
2.249909883469018712e-02 6.853591159536371435e+01 3.052602627321022055e+00 1.185781985843163966e-01 9.711164240960012961e-01 8.179769264658323991e+00 1.001718535988793235e+00 1.000022058465305896e+00 1.007612377635503709e+00 9.937839827537681137e-01 1.003793173165957953e+00 2.539951944825351131e-03
2.250127440497199510e-02 6.846616050459812186e+01 3.063880360014486826e+00 1.184525613960411144e-01 9.697667315257242349e-01 8.368080808921757097e+00 1.004660408695696061e+00 1.002962065688299376e+00 9.993301908727452165e-01 9.986552516915884192e-01 1.003714808760638011e+00 2.344389564627628875e-02
2.229948180845542013e-02 6.868858738697625199e+01 3.048600561130108577e+00 1.173951351716288199e-01 9.774414582462508383e-01 8.363210761389513692e+00 1.000006655154974444e+00 9.988331456924973706e-01 1.006658636024019060e+00 1.000113587034664686e+00 1.000869859848728449e+00 7.506611228099448890e-03
2.259749762082707142e-02 6.830380737443063310e+01 3.044487935004960732e+00 1.190134401646849999e-01 9.701818754619733198e-01 7.747101105498321871e+00 9.994322748397869161e-01 9.993733857643429808e-01 1.003275194859883257e+00 9.998716700569657556e-01 1.000348318813480297e+00 8.951675119561824934e-03
2.239853253920243842e-02 6.837056387998035234e+01 3.037652476285974679e+00 1.177582885817343439e-01 9.705769868147650081e-01 7.510022938605390053e+00 1.001047265413576914e+00 1.002692830524123835e+00 1.002967491505590836e+00 9.959481686706477266e-01 1.004433154098962167e+00 3.574106648528205948e-02
2.250003181152712695e-02 6.844551103459740204e+01 3.062506003641894292e+00 1.180450901734523411e-01 9.791379708097465162e-01 8.643875419509953417e+00 1.002456382904157506e+00 1.003885455227352397e+00 1.006227271266871615e+00 9.974737475903944217e-01 9.998945845063351712e-01 3.128749848370684927e-02
2.235402253585091342e-02 6.840693000467724971e+01 3.053742923325974523e+00 1.183801224679999764e-01 9.729459475644672839e-01 8.065695777321085558e+00 1.003905091298825214e+00 1.001877787293900202e+00 1.002599886415170394e+00 1.001349646264133142e+00 1.000708119548009201e+00 4.833963778366732328e-03
2.247599365873072588e-02 6.842221394879032914e+01 3.061108049218942195e+00 1.187659792569420031e-01 9.692562953058936337e-01 8.619080036818841606e+00 9.997021954497025131e-01 9.981930559738806386e-01 1.001147029389490628e+00 9.943645582307331088e-01 1.000299923984246053e+00 1.443269480816721786e-03
2.248240924056515641e-02 6.828916799315894082e+01 3.027484016203859429e+00 1.188739691537438331e-01 9.719835584799958461e-01 7.176390840351183797e+00 9.979463065414151401e-01 9.994011763371315471e-01 9.966190604351108373e-01 9.949190890443226909e-01 1.005694369686114253e+00 4.964418927997596258e-03
2.258741474195215260e-02 6.898155078905855930e+01 3.057738569751609958e+00 1.175956192133174594e-01 9.701357730488898712e-01 8.287486455952169706e+00 1.003007790629660168e+00 1.000393234747454452e+00 1.002557943716716693e+00 9.967399228066913253e-01 1.000498803124835190e+00 1.774592859113081206e-03
2.240586152265751016e-02 6.806897430746568034e+01 3.072348059710278356e+00 1.189192875567436219e-01 9.702265370658820220e-01 9.389842591363262159e+00 9.986907475698137970e-01 9.956238626639019040e-01 1.004892707590790524e+00 9.942912444686925477e-01 9.983179283194653086e-01 3.951297960805434661e-02
2.245279444403477931e-02 6.859249184433265611e+01 3.058501185602465089e+00 1.173548691584754139e-01 9.746298547947306323e-01 8.697148409639229527e+00 1.001111514841666272e+00 9.968984471819487547e-01 1.006657119539639655e+00 9.971569363970714805e-01 1.002013705044501046e+00 3.410423164405398250e-02
2.241674432455314711e-02 6.832028622469806578e+01 3.040723443920820834e+00 1.176402302941776390e-01 9.709193980790719047e-01 7.473971779172980945e+00 1.002540290387241795e+00 1.000450621651331362e+00 1.008914773544260068e+00 9.978815745900804224e-01 1.004521860825878354e+00 5.434453192432864288e-02
2.235093106177598807e-02 6.732471598219737530e+01 3.042157339046150710e+00 1.194236709664086848e-01 9.729924805373650898e-01 7.763606885294853655e+00 9.989911693031821027e-01 1.000648721508806238e+00 1.001106091072490711e+00 9.954580606920503394e-01 1.000623357387834256e+00 8.402862991227026679e-02
2.241145013733853927e-02 6.816603692197647035e+01 3.043629999794913665e+00 1.186410821241010438e-01 9.692735958230139781e-01 7.995771664572745685e+00 9.983995941111715178e-01 9.969282819632949710e-01 1.004858369892338787e+00 9.954769997376333723e-01 1.000636099515559652e+00 2.394921615999088399e-02
2.232729862480574423e-02 6.773730488659795412e+01 3.060026787863594055e+00 1.197321684927602214e-01 9.743237374634047265e-01 8.579311063086542788e+00 1.000345646349342310e+00 1.001206669192583387e+00 1.002314259257955698e+00 1.001923174594595123e+00 1.000974915369435170e+00 2.582354962609013579e-02
2.247466877048137981e-02 6.844504639886176278e+01 3.061497203763447583e+00 1.182622722910415397e-01 9.729132969296103717e-01 8.855835395876930249e+00 1.000708449935232114e+00 9.996752027767564774e-01 1.003008534837523058e+00 9.972744747984239044e-01 1.000861527339316215e+00 2.522362868625725035e-02
2.249696739418727276e-02 6.799438114910259401e+01 3.033576134883911202e+00 1.199730116318524775e-01 9.635939167015974416e-01 6.800426305947445016e+00 1.002282259358179717e+00 1.000449551180087937e+00 1.006268978324630137e+00 9.974720721282903657e-01 1.001537144861216699e+00 1.825325740795462337e-03
2.251504309339300361e-02 6.888028445211699591e+01 3.061162014340369719e+00 1.178544647419068336e-01 9.692081490337667304e-01 8.728300145779051888e+00 9.999613413625729752e-01 9.955862622082558566e-01 1.004260937489616756e+00 1.001967176944313698e+00 9.984994987404466338e-01 2.409176958691024422e-03
