logz logzerr logvol nlive logl logwt insert_order
-2.892292523641968364e+04 1.187670349605963622e+02 -9.250000000000004052e-02 4.000000000000000000e+02 -2.891635044286320408e+04 -2.892243565714989381e+04 2.000000000000000042e-02
-2.892195763314573560e+04 1.193391828955096798e+02 -9.500000000000004274e-02 4.000000000000000000e+02 -2.876674157436216410e+04 -2.877282928864885616e+04 1.044999999999999929e+00
-2.877282928864885616e+04 1.590366012728297562e+02 -9.750000000000004496e-02 4.000000000000000000e+02 -2.835630342620325609e+04 -2.836239364048994685e+04 5.300000000000000266e-01
-2.836239364048994685e+04 2.362111277749835097e+02 -1.000000000000000472e-01 4.000000000000000000e+02 -2.815964020524358057e+04 -2.816573291953027365e+04 1.900000000000000022e-01
-2.816573291953027365e+04 2.117165805720166532e+02 -1.025000000000000494e-01 4.000000000000000000e+02 -2.787554709478715085e+04 -2.788164230907384263e+04 6.300000000000000044e-01
-2.788164230907384263e+04 1.894727580456974181e+02 -1.050000000000000516e-01 4.000000000000000000e+02 -2.784494096819789775e+04 -2.785103868248458821e+04 2.049999999999999878e-01
-2.785103868248458821e+04 1.561638066915647300e+02 -1.075000000000000538e-01 4.000000000000000000e+02 -2.780065437825166009e+04 -2.780675459253835288e+04 1.929999999999999938e+00
-2.780675459253835288e+04 1.529199477967589758e+02 -1.100000000000000561e-01 4.000000000000000000e+02 -2.748089019140528035e+04 -2.748699290569197183e+04 1.479999999999999982e+00
-2.748699290569197183e+04 1.680216679005532683e+02 -1.125000000000000583e-01 4.000000000000000000e+02 -2.740534373053509989e+04 -2.741144894482179006e+04 6.899999999999999467e-01
-2.741144894482179006e+04 1.995669080931408246e+02 -1.150000000000000605e-01 4.000000000000000000e+02 -2.705983736445211980e+04 -2.706594507873881230e+04 3.950000000000000178e-01
-2.706594507873881230e+04 2.805983681617228171e+02 -1.175000000000000627e-01 4.000000000000000000e+02 -2.703198503575159702e+04 -2.703809525003828821e+04 1.264999999999999902e+00
-2.703809525003828821e+04 1.046142100833155375e+01 -1.200000000000000649e-01 4.000000000000000000e+02 -2.669862612729461398e+04 -2.670473884158130386e+04 1.449999999999999900e-01
-2.670473884158130386e+04 1.660770966212069482e+02 -1.225000000000000672e-01 4.000000000000000000e+02 -2.666541978111836215e+04 -2.667153499540505436e+04 1.074999999999999956e+00
-2.667153499540505436e+04 1.332274336783797821e+02 -1.250000000000000555e-01 4.000000000000000000e+02 -2.651383685912588408e+04 -2.651995457341257497e+04 4.550000000000000155e-01
-2.651995457341257497e+04 1.456716813626103431e+02 -1.275000000000000577e-01 4.000000000000000000e+02 -2.629953393853196394e+04 -2.630565415281865353e+04 3.900000000000000133e-01
-2.630565415281865353e+04 2.326506045513565937e+02 -1.300000000000000600e-01 4.000000000000000000e+02 -2.626450297121156837e+04 -2.627062568549826028e+04 4.949999999999999956e-01
-2.627062568549826028e+04 1.234482591730414498e+02 -1.325000000000000622e-01 4.000000000000000000e+02 -2.624230498340629856e+04 -2.624843019769298917e+04 1.520000000000000018e+00
-2.624843019769275998e+04 1.674148507400429864e+01 -1.350000000000000644e-01 4.000000000000000000e+02 -2.613032009908737382e+04 -2.613644781337406675e+04 3.549999999999999822e-01
-2.613644781337406675e+04 6.092651299809208609e+01 -1.375000000000000666e-01 4.000000000000000000e+02 -2.604502386816656144e+04 -2.605115408245325307e+04 1.104999999999999982e+00
-2.605115408245325307e+04 1.028015595115444398e+02 -1.400000000000000688e-01 4.000000000000000000e+02 -2.602382894838006905e+04 -2.602996166266675937e+04 7.850000000000000311e-01
